latitude,longitude,brightness,acq_date,acq_time,confidence,bright_t31,frp,daynight,precipitation,solar_radiation,max_temp,min_temp,vapor_pressure
40.9739,-106.4649,345.3,2016-07-17,2106,87,294.5,412.8,D,,,,,
47.0778,-119.0726,312.8,2012-07-13,1006,86,288.8,13.0,N,,,,,
45.5206,-123.0804,309.4,2012-04-21,1901,40,297.1,6.9,D,0.0,492.18,23.84,6.22,949.25
40.5583,-122.6799,309.6,2018-08-05,1110,58,288.4,90.4,N,,,,,
47.7227,-110.6766,327.0,2017-09-29,1936,83,301.0,77.4,D,,,,,
33.1152,-83.7326,305.8,2020-02-29,1825,62,288.9,16.0,D,,,,,
64.5815,-153.2145,320.0,2015-08-08,825,100,287.0,51.8,N,,,,,
31.6135,-83.7933,307.4,2020-02-29,1824,65,290.6,18.5,D,,,,,
34.7672,-95.0856,305.3,2013-03-07,1725,58,290.8,7.4,D,,,,,
36.1723,-82.9001,315.6,2018-07-08,1832,64,301.8,8.2,D,,,,,
48.0195,-120.5296,336.9,2014-08-06,545,100,288.0,45.6,N,,,,,
29.813,-93.3044,321.7,2015-01-25,1944,81,288.5,29.0,D,,,,,
40.5903,-123.4703,320.9,2015-08-01,633,80,296.0,21.6,N,,,,,
44.3114,-118.1021,362.6,2015-08-14,2120,100,315.8,150.5,D,,,,,
46.2196,-110.5404,302.2,2015-03-09,1931,51,277.6,52.4,D,,,,,
43.2545,-110.2893,378.4,2016-08-03,2012,100,312.0,167.2,D,,,,,
44.5984,-117.5538,333.5,2015-08-15,1844,83,309.4,21.7,D,,,,,
27.1329,-82.3176,355.1,2021-03-17,1835,97,302.6,90.7,D,,,,,
31.0506,-98.9465,302.2,2019-08-31,801,47,291.1,13.9,N,,,,,
41.16861,-122.93772,384.19,2021-08-17,2150,100,300.19,493.35,D,,,,,
32.0499,-97.4461,304.5,2017-03-03,1630,51,289.3,49.1,D,,,,,
46.4106,-114.8543,322.4,2012-10-10,2108,81,291.4,46.9,D,,,,,
40.2318,-123.1044,314.2,2020-10-06,2208,51,299.2,56.9,D,,,,,
65.1103,-154.6091,336.9,2015-06-23,2315,68,291.3,122.3,D,,,,,
34.458,-119.8286,307.3,2018-07-07,1004,63,295.6,6.1,N,,,,,
36.0945,-99.4285,314.9,2013-04-06,1737,67,292.9,7.8,D,,,,,
38.3377,-88.5131,301.4,2021-04-02,1658,46,287.2,2.8,D,,,,,
40.9482,-106.659,343.8,2016-07-27,1826,90,299.9,74.2,D,,,,,
37.9067,-120.0371,308.7,2018-11-03,2112,65,290.7,5.9,D,,,,,
30.1893,-92.6434,319.6,2014-10-30,1938,75,299.1,15.0,D,,,,,
29.9263,-84.7769,323.9,2018-03-27,1824,77,293.5,70.2,D,,,,,
39.7855,-120.8957,357.6,2020-09-23,2101,98,301.8,87.6,D,,,,,
46.1533,-121.5734,305.4,2012-09-21,520,58,288.7,31.2,N,,,,,
32.2736,-88.4673,312.0,2014-11-21,1901,72,291.1,11.0,D,,,,,
32.4324,-110.8172,345.7,2020-06-17,553,100,294.9,100.1,N,,,,,
33.6259,-109.7849,318.4,2016-10-15,2003,62,299.5,34.8,D,,,,,
19.3357,-155.0432,333.9,2012-06-14,1223,100,293.2,59.0,N,,,,,
42.0968,-124.2215,302.7,2014-11-11,626,38,280.3,8.6,N,,,,,
38.5118,-93.2087,390.1,2020-12-10,1754,100,297.5,1189.7,D,,,,,
43.8196,-107.3782,319.2,2020-12-09,2030,79,287.9,24.3,D,,,,,
42.9578,-90.0682,319.5,2019-05-04,1717,76,292.8,17.7,D,,,,,
42.262,-123.8297,308.7,2018-08-21,1109,62,290.3,56.0,N,,,,,
48.8452,-120.3861,324.3,2017-07-27,1931,68,295.2,25.5,D,,,,,
35.5119,-92.6491,321.3,2019-03-19,1706,81,291.5,18.4,D,,,,,
